,mk_individual_id,mk_individual_name_eng,mk_individual_first_name_eng
0,1,Edelstein,Yuli Yoel
1,2,Edery,Raphael
2,3,Olmert,Ehud
3,4,Orr,Ori
4,5,Oron,Chaim
5,6,Oshaya,Efi
6,7,Azoulay,David
7,8,Itzik,Dalia
8,9,Eitan,Michael
9,10,Eitan,Rafael
10,11,Elul,Rafi
11,12,Elon,Benyamin
12,13,El-Sana,Talab
13,14,Begin,Ze'ev Binyamin
14,15,Badash,Pini
15,16,Boim,Ze`ev
16,17,Bibi,Yigal
17,18,Beilin,Yossi
18,19,Blumenthal,Naomi
19,20,Ben-Eliezer,Binyamin (Fouad)
20,21,Ben Elissar,Eliahu
21,22,Ben-Menachem,Eli
22,23,Ben-Ami,Shlomo
23,24,Ben-Zur,Shmaryahu
24,25,Benizri,Shlomo
25,26,Bronfman,Roman
26,27,Baram,Uzi
27,28,Barak,Ehud
28,29,Bishara,Azmi
29,30,Gabbay,Eliahu
30,31,Gozansky,Tamar
31,32,Goldman,Micha
32,33,Goldschmidt,Elie
33,34,Gamliel,Arieh
34,35,Gafni,Moshe
35,36,Dehamshe,Abdulmalik
36,37,Dahan,Nissim
37,38,Dayan,Haim
38,39,Dayan,Yael
39,40,Darawshe,Abdulwahab
40,41,Deri,Aryeh Machluf
41,42,Hirchson,Abraham
42,43,Halpert,Shmuel
43,44,Hammer,Zevulon
44,45,Hanegbi,Tzachi
45,46,Hendel,Zvi
46,47,Harel,Yehuda
47,48,Weinberg,Zvi
48,49,Weiss,Shevach
49,50,Vaknin,Yitzhak
50,51,Ze'evi,Rehavam
51,52,Zvili,Nissim
52,53,Zisman,Emanuel
53,54,Sandberg,Eliezer
54,55,Haj Yahia,Rafik
55,56,Chazan,Naomi
56,57,Khatib,Tawfik
57,58,Tal,David
58,59,Tarif,Saleh
59,60,Yahav,Yona
60,61,Yahalom,Shaul
61,62,Yechezkel,Avraham
62,63,Yishai,Eliyahu
63,64,Cabel,Eitan
64,65,Cohen,Yitzhak
65,66,Cohen,Ran
66,67,Cohen,Ra`anan
67,68,Katz,Yossi
68,69,Katz,Israel
69,70,Livnat,Limor
70,71,Lubotzky,Alexander
71,72,Levy,David
72,73,Levy,Yitzhak
73,74,Levy,Maxim
74,75,Libai,David
75,76,Leizerson,Avraham
76,77,Landau,Uzi
77,78,Landver,Sofa
78,79,Lancry,Yehuda
79,80,Maor,Anat
80,81,Messele,Addisu
81,82,Magen (Monsonego),David
82,83,Mahameed,Hashem
83,84,Meirom,Hagai
84,85,Massalha,Nawaf
85,86,Matza,Joshua
86,87,Mordechay,Itzchak
87,88,Meridor,Dan
88,89,Nudelman,Michael
89,90,Netanyahu,Benjamin
90,91,Solodkin,Marina
91,92,Slomiansky,Nissan
92,93,Saleem,Saleh
93,94,Sneh,Ephraim
94,95,Sa`d,Ahmad
95,96,Ezra,Gideon
96,97,Amor,Shaul
97,98,Poraz,Avraham
98,99,Porat,Hanan
99,100,Pines-Paz,Ophir
0,101,Peled,Moshe
1,102,Pinchasi,Raphael
2,103,Porush,Meir
3,104,Peres,Shimon
4,105,Peretz,Amir
5,106,Sadik,Walid
6,107,Zucker,David
7,108,Kahalani,Avigdor
8,109,Kleiner,Michael
9,110,Katsav,Moshe
10,111,Re`em,David
11,112,Ravitz,Avraham
12,113,Rubinstein,Amnon
13,114,Rivlin,Reuven
14,115,Ramon,Haim
15,116,Shaki,Avner-Hai
16,117,Shochat,Avraham
17,118,Shahal,Moshe
18,119,Sheetrit,Meir
19,120,Stern,Avraham
20,121,Shtern,Yuri
21,122,Shalom,Silvan
22,123,Simhon,Shalom
23,124,Shmueli,Doron
24,125,Sharon,Ariel
25,126,Sarid,Yossi
26,127,Sharansky,Natan
27,128,Tichon,Dan
28,129,A-Dahar,Ahmed
29,130,Avital,Samuel
30,131,Ahimeir,Yosef
31,132,Aloni,Shulamit
32,133,Asaad,Asaad
33,134,Arad,Nava
34,135,Bagad,Joseph
35,136,Bohbot,Shlomo
36,137,Burg,Avraham
37,138,Gutman,Shaul
38,139,Goldfarb,Alex
39,140,Gur,Mordechai
