kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition,vip_id,mk_individual_first_name_eng,mk_individual_name_eng,Name,is_party_leader
532,יולי-יואל אדלשטיין,16,24,הליכוד,1,532,Yuli Yoel,Edelstein,Yuli Yoel Edelstein,0
477,יובל שטייניץ,16,24,הליכוד,1,477,Yuval,Steinitz,Yuval Steinitz,0
478,מאיר שטרית,16,24,הליכוד,1,478,Meir,Sheetrit,Meir Sheetrit,0
479,סילבן שלום,16,24,הליכוד,1,479,Silvan,Shalom,Silvan Shalom,0
482,אריאל שרון,16,24,הליכוד,1,482,Ariel,Sharon,Ariel Sharon,1
1032,אהוד יתום,16,24,הליכוד,1,1032,Ehud,Yatom,Ehud Yatom,0
533,מרינה סולודקין,16,24,הליכוד,1,533,Marina,Solodkin,Marina Solodkin,0
536,דוד לוי,16,24,הליכוד,1,536,David,Levy,David Levy,0
2467,דוד מנע,16,24,הליכוד,1,2467,David,Mena,David Mena,0
556,חיים כץ,16,24,הליכוד,1,556,Haim,Katz,Haim Katz,0
1041,נס לאה,16,24,הליכוד,1,1041,Lea,Nass,Lea Nass,0
1040,יחיאל חזן,16,24,הליכוד,1,1040,Yehiel,Hazan,Yehiel Hazan,0
1039,ענבל גבריאלי,16,24,הליכוד,1,1039,Inbal,Gavriely,Inbal Gavriely,0
1038,רוני בר-און,16,24,הליכוד,1,1038,Ronnie,Bar-On,Ronnie Bar-On,0
1037,גלעד ארדן,16,24,הליכוד,1,1037,Gilad,Erdan,Gilad Erdan,0
1036,מיכאל גורלובסקי,16,24,הליכוד,1,1036,Michael,Gorlovsky,Michael Gorlovsky,0
1035,עמרי שרון,16,24,הליכוד,1,1035,Omri,Sharon,Omri Sharon,0
1034,משה כחלון,16,24,הליכוד,1,1034,Moshe ,Kahlon,Moshe  Kahlon,0
965,בנימין נתניהו,16,24,הליכוד,1,965,Benjamin,Netanyahu,Benjamin Netanyahu,0
1025,גילה גמליאל,16,24,הליכוד,1,1025,Gila,Gamliel,Gila Gamliel,0
1026,רוחמה אברהם,16,24,הליכוד,1,1026,Ruhama,Avraham Balila,Ruhama Avraham Balila,0
1027,גדעון סער,16,24,הליכוד,1,1027,Gideon,Sa'ar,Gideon Sa'ar,0
1028,דניאל בנלולו,16,24,הליכוד,1,1028,Daniel,Benlolo,Daniel Benlolo,0
1029,מיכאל רצון,16,24,הליכוד,1,1029,Michael,Ratzon,Michael Ratzon,0
1030,מגלי והבה,16,24,הליכוד,1,1030,Majallie,Whbee,Majallie Whbee,0
1031,יעקב אדרי,16,24,הליכוד,1,1031,Jacob,Edery,Jacob Edery,0
476,ראובן ריבלין,16,24,הליכוד,1,476,Reuven,Rivlin,Reuven Rivlin,0
475,איוב קרא,16,24,הליכוד,1,475,Ayoob,Kara,Ayoob Kara,0
1033,אלי אפללו,16,24,הליכוד,1,1033,Eli,Aflalo,Eli Aflalo,0
473,דני נוה,16,24,הליכוד,1,473,Dan,Naveh,Dan Naveh,0
464,זאב בוים,16,24,הליכוד,1,464,Ze`ev,Boim,Ze`ev Boim,0
462,מיכאל איתן,16,24,הליכוד,1,462,Michael,Eitan,Michael Eitan,0
4035,פנינה רוזנבלום,16,24,הליכוד,1,4035,Penina,Rosenblum,Penina Rosenblum,0
465,נעמי בלומנטל,16,24,הליכוד,1,465,Naomi,Blumenthal,Naomi Blumenthal,0
1064,אהוד אולמרט,16,24,הליכוד,1,1064,Ehud,Olmert,Ehud Olmert,0
466,אברהם הירשזון,16,24,הליכוד,1,466,Abraham,Hirchson,Abraham Hirchson,0
474,גדעון עזרא,16,24,הליכוד,1,474,Gideon,Ezra,Gideon Ezra,0
471,עוזי לנדאו,16,24,הליכוד,1,471,Uzi,Landau,Uzi Landau,0
470,לימור לבנת,16,24,הליכוד,1,470,Limor,Livnat,Limor Livnat,0
468,ישראל כץ,16,24,הליכוד,1,468,Israel,Katz,Israel Katz,0
469,ציפי לבני,16,24,הליכוד,1,469,Tzipi,Livni,Tzipi Livni,0
467,צחי הנגבי,16,24,הליכוד,1,467,Tzachi,Hanegbi,Tzachi Hanegbi,0
1044,יצחק הרצוג,16,42,העבודה-מימד,0,1044,Isaac,Herzog,Isaac Herzog,1
1043,יולי תמיר,16,42,העבודה-מימד,0,1043,Yuli,Tamir,Yuli Tamir,0
2014,ר-אלב מג`אדלה,16,42,העבודה-מימד,0,2014,Raleb,Majadele,Raleb Majadele,0
1042,עמרם מצנע,16,42,העבודה-מימד,0,1042,Amram,Mitzna,Amram Mitzna,1
461,שלום שמחון,16,42,העבודה-מימד,0,461,Shalom,Simhon,Shalom Simhon,0
459,אברהם-בייגה שוחט,16,42,העבודה-מימד,0,459,Avraham,Shochat,Avraham Shochat,0
431,קולט אביטל,16,42,העבודה-מימד,0,431,Colette,Avital,Colette Avital,0
455,אופיר פינס-פז,16,42,העבודה-מימד,0,455,Ophir,Pines-Paz,Ophir Pines-Paz,0
454,אפרים סנה,16,42,העבודה-מימד,0,454,Ephraim,Sneh,Ephraim Sneh,0
449,מיכאל מלכיאור,16,42,העבודה-מימד,0,449,Michael,Melchior,Michael Melchior,0
445,איתן כבל,16,42,העבודה-מימד,0,445,Eitan,Cabel,Eitan Cabel,0
865,אורית נוקד,16,42,העבודה-מימד,0,865,Orit,Noked,Orit Noked,0
437,אלי בן - מנחם,16,42,העבודה-מימד,0,437,Eli,Ben-Menachem,Eli Ben-Menachem,0
435,בנימין בן-אליעזר,16,42,העבודה-מימד,0,435,Binyamin (Fouad),Ben-Eliezer,Binyamin (Fouad) Ben-Eliezer,0
434,אברהם בורג,16,42,העבודה-מימד,0,434,Avraham,Burg,Avraham Burg,0
433,דליה איציק,16,42,העבודה-מימד,0,433,Dalia,Itzik,Dalia Itzik,0
458,חיים רמון,16,42,העבודה-מימד,0,458,Haim,Ramon,Haim Ramon,0
456,שמעון פרס,16,42,העבודה-מימד,0,456,Shimon,Peres,Shimon Peres,0
1045,דני יתום,16,42,העבודה-מימד,0,1045,Dani,Yatom,Dani Yatom,0
1067,מתן וילנאי,16,42,העבודה-מימד,0,1067,Matan,Vilnai,Matan Vilnai,0
1046,אילן שלגי,16,43,שינוי,1,1046,Ilan,Shalgi,Ilan Shalgi,0
1053,חמי דורון,16,43,שינוי,1,1053,Chemi,Doron,Chemi Doron,0
567,אליעזר זנדברג,16,43,שינוי,1,567,Eliezer,Sandberg,Eliezer Sandberg,0
1052,אילן ליבוביץ,16,43,שינוי,1,1052,Ilan,Leibovitch,Ilan Leibovitch,0
1051,אתי לבני,16,43,שינוי,1,1051,Eti,Livni,Eti Livni,0
1054,יגאל יאסינוב,16,43,שינוי,1,1054,Igal,Yasinov,Igal Yasinov,0
513,ויקטור בריילובסקי,16,43,שינוי,1,513,Victor,Brailovsky,Victor Brailovsky,0
1050,אהוד רצאבי,16,43,שינוי,1,1050,Ehud,Rassabi,Ehud Rassabi,0
518,יהודית נאות,16,43,שינוי,1,518,Yehudith,Naot,Yehudith Naot,0
519,אברהם פורז,16,43,שינוי,1,519,Avraham,Poraz,Avraham Poraz,0
520,יוסף יצחק פריצקי,16,43,שינוי,1,520,Joseph,Paritzky,Joseph Paritzky,0
1049,אהרון רוני בריזון,16,43,שינוי,1,1049,Ronny A.,Brison,Ronny A. Brison,0
1048,רשף ארי חן,16,43,שינוי,1,1048,Reshef,Chayne,Reshef Chayne,0
1047,מלי פולישוק-בלוך,16,43,שינוי,1,1047,Meli,Polishook-Bloch,Meli Polishook-Bloch,0
3175,אראלה גולן,16,43,שינוי,1,3175,Erela,Golan,Erela Golan,0
517,לפיד יוסף,16,43,שינוי,1,517,Yosef (Tommy),Lapid,Yosef (Tommy) Lapid,1
483,דוד אזולאי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,483,David,Azoulay,David Azoulay,1
1056,יעקב מרגי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,1056,Yakov,Margi,Yakov Margi,0
484,שלמה בניזרי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,484,Shlomo,Benizri,Shlomo Benizri,0
487,נסים דהן,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,487,Nissim,Dahan,Nissim Dahan,0
580,יצחק כהן,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,580,Yitzhak,Cohen,Yitzhak Cohen,0
490,נסים זאב,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,490,Nissim,Zeev,Nissim Zeev,0
494,אליהו ישי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,494,Eliyahu,Yishai,Eliyahu Yishai,1
