kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition
32046,רם שפע,21,917,כחול לבן,-1
32013,מיקי חימוביץ,21,917,כחול לבן,-1
32012,אסף זמיר,21,917,כחול לבן,-1
32009,צבי האוזר,21,917,כחול לבן,-1
32007,בני גנץ,21,917,כחול לבן,-1
12963,משה יעלון,21,917,כחול לבן,-1
32006,איתן גינזבורג,21,917,כחול לבן,-1
32002,אורנה ברביבאי,21,917,כחול לבן,-1
32001,רם בן ברק,21,917,כחול לבן,-1
32000,מיכאל מרדכי ביטון,21,917,כחול לבן,-1
32015,יחיאל משה טרופר,21,917,כחול לבן,-1
31999,גבי אשכנזי,21,917,כחול לבן,-1
23594,יאיר לפיד,21,917,כחול לבן,-1
23596,יעל גרמן,21,917,כחול לבן,-1
23597,מאיר כהן,21,917,כחול לבן,-1
23600,עפר שלח,21,917,כחול לבן,-1
23601,יואל רזבוזוב,21,917,כחול לבן,-1
23631,קארין אלהרר,21,917,כחול לבן,-1
23632,מיקי לוי,21,917,כחול לבן,-1
23635,פנינה תמנו,21,917,כחול לבן,-1
23639,בועז טופורובסקי,21,917,כחול לבן,-1
23591,אלעזר שטרן,21,917,כחול לבן,-1
32016,דסטה גדי יברקן,21,917,כחול לבן,-1
32011,יועז הנדל,21,917,כחול לבן,-1
32018,עומר ינקלביץ,21,917,כחול לבן,-1
32036,אורית פרקש-הכהן,21,917,כחול לבן,-1
32041,אלון נתן שוסטר,21,917,כחול לבן,-1
32020,מירב כהן,21,917,כחול לבן,-1
32034,אורלי פרומן,21,917,כחול לבן,-1
32023,יוראי להב הרצנו,21,917,כחול לבן,-1
32025,רדיר מריח,21,917,כחול לבן,-1
32044,יזהר ניצן שי,21,917,כחול לבן,-1
32026,אבי ניסנקורן,21,917,כחול לבן,-1
32039,עדן רול,21,917,כחול לבן,-1
32027,יואב סגלוביץ,21,917,כחול לבן,-1
2291,אריה מכלוף דרעי,21,918,"ש""ס",-1
31998,משה ארבל,21,918,"ש""ס",-1
580,יצחק כהן,21,918,"ש""ס",-1
30573,מיכאל מלכיאלי,21,918,"ש""ס",-1
28513,יואב בן צור,21,918,"ש""ס",-1
1056,יעקב מרגי,21,918,"ש""ס",-1
31851,ינון אזולאי,21,918,"ש""ס",-1
498,משולם נהרי,21,918,"ש""ס",-1
32042,אנטאנס שחאדה,21,922,"רע""ם-בל""ד",-1
30068,עבד אל חכים חאג` יחיא,21,922,"רע""ם-בל""ד",-1
32031,מנסור עבאס,21,922,"רע""ם-בל""ד",-1
32017,היבה יזבק,21,922,"רע""ם-בל""ד",-1
32030,עידית סילמן,21,923,איחוד מפלגות הימין,-1
32029,אופיר סופר,21,923,איחוד מפלגות הימין,-1
23534,מרדכי יוגב,21,923,איחוד מפלגות הימין,-1
30055,בצלאל סמוטריץ,21,923,איחוד מפלגות הימין,-1
32035,רפאל פרץ,21,923,איחוד מפלגות הימין,-1
30070,אוסאמה סעדי,21,924,"חד""ש-תע""ל",-1
32021,עופר כסיף,21,924,"חד""ש-תע""ל",-1
30067,עאידה תומא סלימאן,21,924,"חד""ש-תע""ל",-1
30066,איימן עודה,21,924,"חד""ש-תע""ל",-1
30069,יוסף ג`בארין,21,924,"חד""ש-תע""ל",-1
560,אחמד טיבי,21,924,"חד""ש-תע""ל",-1
557,עמיר פרץ,21,925,העבודה,-1
32040,טל רוסו,21,925,העבודה,-1
23566,סתיו שפיר,21,925,העבודה,-1
30216,אבי גבאי,21,925,העבודה,-1
23568,איציק שמולי,21,925,העבודה,-1
4405,שלי יחימוביץ,21,925,העבודה,-1
23653,מיכל רוזין,21,926,מרצ,-1
23652,עיסאווי פריג`,21,926,מרצ,-1
503,אילן גילאון,21,926,מרצ,-1
23651,תמר זנדברג,21,926,מרצ,-1
1057,ישראל אייכלר,21,928,יהדות התורה,-1
563,מאיר פרוש,21,928,יהדות התורה,-1
32014,יואל יעקב טסלר,21,928,יהדות התורה,-1
23641,יעקב אשר,21,928,יהדות התורה,-1
32033,יצחק זאב פינדרוס,21,928,יהדות התורה,-1
528,יעקב ליצמן,21,928,יהדות התורה,-1
526,משה גפני,21,928,יהדות התורה,-1
11835,אורי מקלב,21,928,יהדות התורה,-1
32028,יבגני סובה,21,929,ישראל ביתנו,-1
427,אביגדור ליברמן,21,929,ישראל ביתנו,-1
23560,יוליה מלינובסקי,21,929,ישראל ביתנו,-1
30309,עודד פורר,21,929,ישראל ביתנו,-1
31997,אלי אבידר,21,929,ישראל ביתנו,-1
30084,רועי פולקמן,21,930,כולנו,-1
1034,משה כחלון,21,930,כולנו,-1
30082,יפעת שאשא ביטון,21,930,כולנו,-1
30369,אמיר אוחנה,21,931,הליכוד,-1
467,צחי הנגבי,21,931,הליכוד,-1
556,חיים כץ,21,931,הליכוד,-1
32032,חוה אתי עטייה,21,931,הליכוד,-1
30305,שרן השכל,21,931,הליכוד,-1
532,יולי יואל אדלשטיין,21,931,הליכוד,-1
468,ישראל כץ,21,931,הליכוד,-1
31948,אוסנת הילה מארק,21,931,הליכוד,-1
32037,אריאל קלנר,21,931,הליכוד,-1
32038,שלמה קרעי,21,931,הליכוד,-1
30077,יואב גלנט,21,931,הליכוד,-1
32045,מיכל שיר סגמן,21,931,הליכוד,-1
477,יובל שטייניץ,21,931,הליכוד,-1
